win_rate,bot_decision
0.5090249354592318,1
0.884447361951932,3
0.0074574462892669224,0
0.8593423218590156,1
0.6678474489712938,3
0.7654925763565192,0
0.9524350286984661,2
0.5316044243331353,0
0.9758011285134203,1
0.9084387880611364,1
0.567540308391561,1
0.919817392517521,1
0.9718684311919737,1
0.9220854081265941,0
0.8197688992547325,1
0.9422637077518884,3
0.9043237948221388,0
0.756927169979771,1
0.8183069275571357,4
0.7290363465562321,2
0.873630930019154,2
0.7220312642916632,1
0.9472860562612259,1
0.8707920178840736,0
0.807924637426158,0
0.7896493848240262,0
0.8290505157943893,2
0.8599418928054933,1
0.7461570690418717,0
0.7673139920568566,1
0.7529526928750228,3
0.7557909646498384,2
0.543343606098371,0
0.1639998760825614,1
0.6699898778358279,3
0.9283512840111741,1
0.8861541795047765,1
0.8531257773769146,1
0.9764908769749212,4
0.9559667201641219,4
0.6932037209630448,4
0.9698433449208322,3
0.9095336952090964,1
0.32040797481784533,1
0.8373829527682047,2
0.9364907104155499,0
0.8997889269892764,3
0.7241180511442397,1
0.8704494645299762,2
0.7219479848705066,3
0.851739413112666,3
0.79418512024393,3
0.9443461760725328,3
0.9583803340041832,0
0.7008913718576101,0
0.6811341525441211,0
0.6498696453112046,2
0.9435202953739779,0
0.6568251383486023,3
0.7659347588688463,0
0.9453645073574377,1
0.7258152478201225,3
0.9754844715864913,2
0.8051243107597598,2
0.7452810281006188,1
0.7981144721130852,3
0.9331308190132341,3
0.8507617977477087,3
0.9080705532880726,3
0.8546683048902755,3
0.8004204413763598,0
0.9292282421584267,0
0.9635054775705607,0
0.7852472319231976,0
0.8020117739873672,0
0.830000910537091,1
0.7338747483658569,1
0.8963802991894484,2
0.950147457962867,1
0.8822835733758346,2
0.7556777369586809,1
0.8980576105238813,3
0.7209912413373937,4
0.8953492178555321,1
0.7871300332158847,1
0.7811191252462177,2
0.8892977269547008,1
0.8828113627943381,3
0.8961115550589434,1
0.9661720564998219,1
0.8163356580082242,3
0.950077766357637,1
0.6301170462898615,0
0.7704320268221146,3
0.7341920677483301,3
0.09901000716243546,0
0.9433155614104267,1
0.7307286823250737,3
0.7392222962088473,0
0.8954328962004462,1
0.6242704085345763,0
0.8287597514236864,0
0.718144760255612,4
0.9081265423007363,2
0.8640728820612996,1
0.958385680702668,2
0.96076928176754,2
0.8796982891579198,3
0.8654015007966008,2
0.9714910738995428,2
0.6443313255372342,1
0.6270179982250074,0
0.7939155982023326,2
0.801496264452426,2
0.7235240095411217,1
0.8423198355552299,1
0.9399032844259777,2
0.8761823969708398,0
0.41064380290004265,0
0.9927009327736076,4
0.8788621754975331,1
0.7361887599004199,2
0.9097527064348204,1
0.9293958651091295,1
0.7121352793459372,3
0.9797449358775938,2
0.9891819962528103,2
0.7053269034658024,3
